tconst,titleType,originalTitle,title,startYear,runtimeMinutes,averageRating,numVotes,Main_genre,Sub_genre_1,Sub_genre_2,Directors,birthYear,deathYear,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5
tt0101452,movie,Bill & Ted's Bogus Journey,Les folles aventures de Bill et Ted,1991,93,6.3,70390.0,Fantasy,Comedy,Adventure,Peter Hewitt,1962.0,0.0,Caroline Allen,Kate Axelrod,Annette Azcuy,Marni Joan Bakst,Terry Finn
tt0101507,movie,Boyz n the Hood,"Boyz'n the Hood, la loi de la rue",1991,112,7.8,128030.0,Drama,Crime,,John Singleton,1968.0,2019.0,Ice Cube,Tevin Campbell,Jaki Brown,Kenneth A. Brown,Veda Campbell
tt0101516,movie,Bugsy,Bugsy,1991,136,6.8,26649.0,Drama,Crime,Biography,Barry Levinson,1942.0,0.0,Barry Levinson,Allen Daviau,Lloyd Baskin,Laurie Bernard,Martin Block
tt0101540,movie,Cape Fear,Les Nerfs à vif,1991,128,7.3,176867.0,Thriller,Crime,,Martin Scorsese,1942.0,0.0,Robert De Niro,Andy Aaron,Erika Aronson,Elaine Bass,Connie Lee Brown
tt0101587,movie,City Slickers,City Slickers,1991,113,6.8,49139.0,Western,Comedy,,Ron Underwood,1953.0,0.0,Anthony Brand,Walker Brandt,Jim Carne,Alan Charof,Chema
tt0101605,movie,The Commitments,Les Commitments,1991,118,7.6,33190.0,Music,Drama,Comedy,Alan Parker,1944.0,2020.0,Carolyne Chauncey,Paul Barnes,Conor Brady,Philip Bredin,Dan Breen
tt0101635,movie,Curly Sue,La p'tite arnaqueuse,1991,101,5.9,20579.0,Family,Drama,Comedy,John Hughes,1950.0,2009.0,Grace Collette,Patty Hooker,J.C. Johnson,Aimee Kohn,Cathy Newport-Logan
tt0101640,movie,Dà hóng denglong gaogao guà,Épouses et concubines,1991,125,8.1,30027.0,Romance,History,Drama,Yimou Zhang,1951.0,0.0,Gong Li,Tod Scott Brody,Yuan Du,Saifei He,Jingwu Ma
tt0101669,movie,Dead Again,Dead Again,1991,107,6.9,26246.0,Mystery,Drama,Crime,Kenneth Branagh,1960.0,0.0,Jo Anderson,Vartan Chakarian,Richard Easton,Bob Fillis,Lloyd Gowdy
tt0101698,movie,Defending Your Life,Rendez-vous au paradis,1991,112,7.2,17393.0,Fantasy,Drama,Comedy,Albert Brooks,1947.0,0.0,Gary Beach,Christina Bennett,Sidney Chankin,Mark Dunlap,Greg Finley
tt0101700,movie,Delicatessen,Delicatessen,1991,99,7.6,81246.0,Crime,Comedy,,,,,Jean-Pierre Jeunet,Marc Caro,Gilles Adrien,Carlos D'Alessio,Eric Averlant
tt0101745,movie,Doc Hollywood,Doc Hollywood,1991,104,6.2,33638.0,Romance,Drama,Comedy,Michael Caton-Jones,1957.0,0.0,Doris Alaimo,Raye Birk,Pavel Cerny,William Cowart,David Dupre
tt0101757,movie,Don't Tell Mom the Babysitter's Dead,Panique chez les Crandell,1991,102,6.3,28506.0,Comedy,,,Stephen Herek,1958.0,0.0,Timothy B. Schmit,DeeDee Altamura,B. Miles Blakney,Liz Wartenberg,Janet Cunningham
tt0101761,movie,The Doors,Les Doors,1991,140,7.2,84814.0,Music,Drama,Biography,Oliver Stone,1946.0,0.0,Val Kilmer,Olivia Barash,Kevin Dillon,Victor J. Anderberry,Elizabeth Barber
